CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication,VL_Million,AN_Million,PerformancePositive
MA0000300030,30003,AD CAPITAL DYNAMIC BOND,AD CAPITAL ASSET MANAGEMENT,FCP,OMLT,[3  7],MBI MLT,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,BANQUE CENTRALE POPULAIRE,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,543614.1,1006.69,,0.000169,0.001233,0.003049,0.006408,,,,,,2026-08-31,Quotidienne,0.00100669,0.5436141,False
MA0000300048,30004,AD CAPITAL MULTISTRATEGIE,AD CAPITAL ASSET MANAGEMENT,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,CREDIT DU MAROC,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,545606.66,1012.26,,-0.00425,0.002655,0.014919,0.012746,,,,,,2026-08-31,Quotidienne,0.00101226,0.54560666,False
MA0000300055,30005,AD CAPITAL OBLIGATAIRE PLUS,AD CAPITAL ASSET MANAGEMENT,FCP,OMLT,[3  7],MBI MLT,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,SAHAM BANK,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,543974.77,1007.36,,0.000179,0.001213,0.003217,0.007028,,,,,,2026-08-31,Quotidienne,0.0010073600000000001,0.54397477,False
MA0000037095,3709,AD CASH,AD CAPITAL ASSET MANAGEMENT,FCP,MONÉTAIRE,[0  0.5[,MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,ATTIJARIWAFA BANK,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,2580059324.18,1592.13,0.01783,3.8e-05,0.000786,0.002411,0.00732,0.013779,0.026876,0.059323,0.098013,0.148085,2026-08-31,Quotidienne,0.0015921300000000002,2580.0593241799997,True
MA0000037632,3763,AD FIXED INCOME FUND,AD CAPITAL ASSET MANAGEMENT,FCP,MONÉTAIRE,"]0  0,5]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,BANK OF AFRICA,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,568628412.21,1303.6,0.01711,9.2e-05,0.000791,0.002592,0.007045,0.013221,0.025214,0.05701,0.093321,0.136045,2026-08-31,Quotidienne,0.0013035999999999998,568.6284122100001,True
MA0000039141,3914,AD SELECT BANQUES,AD CAPITAL ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,CFG BANK,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,2124310650.55,1153.52,0.019903,-5.2e-05,0.001007,0.002965,0.008454,0.015557,0.029497,0.069649,0.116929,,2026-08-31,Quotidienne,0.00115352,2124.31065055,True
MA0000037624,3762,AD YIELD FUND,AD CAPITAL ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,BANK OF AFRICA,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,2556688435.48,1373.18,0.02014,-0.000131,0.001021,0.002943,0.008579,0.015606,0.028776,0.067476,0.114838,0.154913,2026-08-31,Quotidienne,0.00137318,2556.68843548,True
MA0000039570,3957,AFG ACTIVE BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,]4  8],95% MBI GLOBAL + 5% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,BANQUE CENTRALE POPULAIRE,AFG ASSET MANAGEMENT,1161875631.4,1097.71,-0.013489,-0.0022,-0.000382,0.006464,-0.000382,-0.010171,-0.023642,,,,2026-08-31,Quotidienne,0.00109771,1161.8756314000002,False
MA0000039968,3996,AFG ALLOCATION FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,70% MBI GLOBAL + 30% MASI,QUOTIDIENNE,FNPP,MIXTE,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFG ASSET MANAGEMENT,1011541.57,1011.54,,-0.001993,-0.004458,0.005207,0.009884,,,,,,2026-08-31,Quotidienne,0.00101154,1.01154157,False
MA0000039752,3975,AFG BALANCED FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,50% MBI GLOBAL + 50% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,BCP,AFG ASSET MANAGEMENT,840995587.66,936.28,-0.002195,-0.011758,-0.008115,0.042419,0.022207,0.000363,-0.06899,,,,2026-08-31,Quotidienne,0.00093628,840.99558766,False
