CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication
MA0000030058,3005,BMCI COSMOS,CIH CAPITAL MANAGEMENT,SICAV,ACTIONS,-,MASI,HEBDOMADAIRE,FGP,CAPITALISANT,0.02,0.0075,0.02,BMCI,CIH CAPITAL MANAGEMENT,27946928.29,420.03,-0.036739,-,-0.017106,-0.039031,0.042103,-0.036739,-0.04319,0.373545,0.553078,0.4841,2026-06-26,Hebdomadaire
MA0000030066,3006,BMCI EPARGNE OBLIGATIONS,CIH CAPITAL MANAGEMENT,SICAV,OMLT,[3  7[,MBI MLT,HEBDOMADAIRE,FGP,CAPITALISANT,0.005,0.0025,0.0093,BMCI,CIH CAPITAL MANAGEMENT,121949786.02,273.19,-0.01265,-,0.001797,-0.004228,0.007189,-0.01265,-0.006401,0.079888,0.161818,0.088103,2026-06-26,Hebdomadaire
MA0000030132,3013,BMCI TRESORERIE,CIH CAPITAL MANAGEMENT,SICAV,MONÉTAIRE,"[0  0,5[",TMJ(jj),QUOTIDIENNE,FGP,CAPITALISANT,0.0125,0.005,0.0195,BMCI,CIH CAPITAL MANAGEMENT,190668801.91,123171.06,0.007656,-,0.000286,0.001007,0.003882,0.007656,0.014879,0.034244,0.057972,0.08234,2026-06-26,Hebdomadaire
MA0000030215,3021,CDG IZDIHAR,CDG CAPITAL GESTION,SICAV,DIVERSIFIÉ,-,77% MBI GLOBAL + 23% CFG 25 FLOTTANT,HEBDOMADAIRE,FGP,CAPITALISANT,0.003,0.0025,0.02,CDG CAPITAL,CDG CAPITAL GESTION,1372013976.1,4069.8,-0.052206,-,-0.003762,-0.012196,0.008545,-0.052206,-0.05618,0.151779,0.262153,0.179235,2026-06-26,Hebdomadaire
MA0000030280,3028,CDG TAWFIR,CDG CAPITAL GESTION,SICAV,OMLT,[3  7[,MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.005,0.0,0.02,CDG CAPITAL,CDG CAPITAL GESTION,1829687064.33,3457.17,-0.005878,-,0.001765,-0.001652,0.013654,-0.005878,0.004063,0.09113,0.171668,0.100428,2026-06-26,Hebdomadaire
MA0000030298,3029,SICAV OBLIGATIONS PÉRENNITÉ,CDG CAPITAL GESTION,SICAV,OMLT,"[1,1  16[",MBI MT,QUOTIDIENNE,FNPP,CAPITALISANT,0.03,0.015,0.02,CDG CAPITAL,CDG CAPITAL GESTION,6241436013.56,3284.06,-0.00956,-,0.001928,-0.00031,0.01132,-0.00956,-0.000457,0.058466,0.105536,0.115953,2026-06-26,Hebdomadaire
MA0000030306,3030,CDG TRESORERIE,CDG CAPITAL GESTION,SICAV,MONÉTAIRE,"[0  0,5[",50% MBI CT + 50% TMP,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,CDG CAPITAL,CDG CAPITAL GESTION,6239820547.4,2267.65,0.01323,-,0.000481,0.001519,0.007415,0.01323,0.025859,0.058102,0.094056,0.134858,2026-06-26,Hebdomadaire
MA0000030363,3036,BMCI EPARGNE CROISSANCE,CIH CAPITAL MANAGEMENT,SICAV,DIVERSIFIÉ,-,60% MASI + 40% MBI MT,HEBDOMADAIRE,FGP,CAPITALISANT,0.0125,0.005,0.0195,BMCI,CIH CAPITAL MANAGEMENT,270652209.19,161.87,-0.03729,-,-0.002342,-0.012446,0.003783,-0.03729,-0.02699,0.152674,0.261357,0.258709,2026-06-26,Hebdomadaire
MA0000030371,3037,CIMR TRESO PLUS,SAHAM CAPITAL GESTION,SICAV,OCT,"]0,5  1,1]",MBI CT,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,SAHAM BANK,SAHAM BANK,286530594.28,401303.35,0.011455,-,0.000436,0.001135,0.007531,0.011455,0.021082,0.053131,0.089377,0.12958,2026-06-26,Hebdomadaire
MA0000030397,3039,CDG BARID,CDG CAPITAL GESTION,SICAV,OMLT,[3  7[,-,HEBDOMADAIRE,FNPP,CAPITALISANT,0.005,0.0,0.02,CDG,CDG CAPITAL GESTION,3468479184.36,3706.26,-0.013035,-,0.001486,-0.003477,0.010858,-0.013035,-0.008915,0.092296,0.185518,0.072835,2026-06-26,Hebdomadaire
